,date,keywords,lat,lng
51,2018-02-23 17:39:29,taking gay boylesque camden tomorrow debut new variety extravaganza come,51.541,-0.1433
52,2018-07-21 19:38:19,says really soca music kiss chick goodbye new handle community ya call di culture king boylesque,43.7166,-79.3407
53,2018-04-15 01:56:08,boylesque rebecca triple door,47.60864,-122.33769
54,2017-01-19 14:57:01,friday get wolfe bull legend one grand boylesque revue,43.66319419,-79.38325652
55,2019-06-06 16:15:57,celebrating years homo erectus boylesque join us saturday june celebrate hosted wilfredo thegreatwilfredo,40.73379,-74.00215
56,2019-05-10 19:49:02,weekend pensacola fl always brand new show ya featuring sideshow burlesque acrobatics amp boylesque,30.4127108,-87.2151833
57,2016-10-25 14:44:16,beyond thrilled announce performing boylesque bourbon brash new,34.10097058,-118.32555943
58,2017-09-23 04:21:48,oh big deal got watch boylesque hero mine perform new york burlesque,40.72206,-73.95755
59,2016-10-14 23:22:30,bombshell babes channeling boylesque alter ego last nights special draglesque class,45.4475631,-75.6502823
60,2015-06-18 23:52:15,homo erectus boylesque anniversary show lisa frank threw stonewallnyc,40.73370076,-74.00221457
61,2016-07-20 14:16:16,never know might see boylesque bingo come tap room saturday check,42.24077,-83.61474
62,2016-04-10 01:42:20,boylesque royal revue april join us night men,41.57138105,-81.57044455
63,2016-06-10 22:20:21,time nyc boylesque festival houseofyes pal regina georgie,40.70686,-73.92353
64,2016-04-16 11:10:36,le cabaret burlesque bravo aux effeuilleuses et boylesque animation au top,48.851482,2.349982
65,2016-08-06 03:36:51,super villians never looked good boylesque greyhound hotel,-37.86831,144.98676
66,2018-03-31 19:23:14,new characters coming stay diva beloved mister punch boylesque,43.79075,11.23407
67,2018-11-13 03:47:07,gentlemansclubto wednesday full cast boylesque bump amp grind doors show guest host performer,43.6477999,-79.40447
68,2016-12-16 16:28:41,jack frost look last night danger zone boylesque fun,30.2955093,-97.7417374
69,2016-06-18 09:06:00,boylesque boys best deanchunko mel wilson,-37.86815453,144.98710044
